0,2022-01-17,0.517,446,675
1,2022-02-03,0.3155,503,3128
2,2022-01-31,0.9501,569,2692
3,2022-01-11,0.6367,450,217
4,2022-02-26,0.1889,55,941
5,2022-01-12,0.1831,481,1065
6,2022-03-25,0.1636,478,1787
7,2022-03-18,0.116,916,2027
8,2022-03-09,0.0408,365,2904
9,2022-01-18,0.5609,468,2019
10,2022-03-05,0.1125,737,606
11,2022-02-24,0.1237,95,834
12,2022-02-20,0.8682,184,689
13,2022-01-08,0.7499,842,1117
14,2022-02-12,0.5632,679,2398
15,2022-01-14,0.2124,994,16
16,2022-01-03,0.526,584,739
17,2022-03-05,0.4164,78,1008
18,2022-01-09,0.7683,693,386
19,2022-02-08,0.8874,26,1164
20,2022-01-14,0.6813,696,499
21,2022-01-23,0.3942,604,434
22,2022-01-13,0.837,157,118
23,2022-03-07,0.0811,850,2898
24,2022-03-04,0.6595,464,2573
25,2022-01-27,0.9552,608,2695
26,2022-01-05,0.0058,993,179
27,2022-03-17,0.6562,973,1855
28,2022-03-14,0.3249,749,3007
29,2022-03-20,0.9069,816,2331
30,2022-03-15,0.1293,883,199
31,2022-01-23,0.8016,289,1323
32,2022-03-05,0.7981,761,289
33,2022-01-20,0.5472,616,1562
34,2022-02-06,0.0926,261,729
35,2022-01-19,0.2401,789,1633
36,2022-03-01,0.0892,872,852
37,2022-03-19,0.1629,798,1648
38,2022-03-18,0.2849,770,2679
39,2022-02-13,0.1541,305,2010
40,2022-02-07,0.8011,753,1270
41,2022-01-18,0.9037,617,537
42,2022-03-06,0.359,98,1505
43,2022-02-10,0.5127,501,1824
44,2022-01-12,0.8854,487,1099
45,2022-02-11,0.5631,433,369
46,2022-01-27,0.7565,830,1508
47,2022-02-07,0.6139,444,2583
48,2022-01-15,0.426,41,2102
49,2022-02-13,0.3417,474,2770
50,2022-02-04,0.2242,702,2923
51,2022-03-07,0.1551,507,2159
52,2022-03-15,0.6296,537,343
53,2022-01-25,0.2907,447,324
54,2022-01-14,0.9072,489,1230
55,2022-02-02,0.1486,130,2802
56,2022-03-20,0.9029,861,1018
57,2022-01-07,0.5231,302,2328
58,2022-01-25,0.0477,78,184
59,2022-03-01,0.5134,522,1740
60,2022-01-13,0.413,475,2706
61,2022-01-18,0.7203,832,1037
62,2022-03-22,0.3555,599,334
63,2022-02-16,0.7686,16,466
64,2022-02-27,0.7405,473,735
65,2022-01-28,0.7862,863,1609
66,2022-01-19,0.0453,426,2885
67,2022-03-23,0.2976,601,2965
68,2022-01-15,0.455,686,1842
69,2022-02-28,0.6238,271,1398
70,2022-01-10,0.9667,892,766
71,2022-03-02,0.2111,80,3059
72,2022-02-15,0.9822,265,2758
73,2022-03-14,0.1063,547,73
74,2022-02-04,0.0058,119,54
75,2022-03-12,0.1717,488,1884
76,2022-01-28,0.6918,889,2694
77,2022-02-14,0.9658,616,2973
78,2022-03-05,0.4867,633,2526
79,2022-02-27,0.3607,689,2827
80,2022-01-04,0.6751,823,1239
81,2022-03-10,0.0876,138,56
82,2022-02-03,0.1908,835,65
83,2022-01-15,0.696,192,109
84,2022-02-09,0.2092,664,594
85,2022-01-13,0.6497,446,2564
86,2022-03-01,0.8582,551,781
87,2022-02-10,0.0861,788,1898
88,2022-01-29,0.1482,432,89
89,2022-01-05,0.1165,924,624
90,2022-02-23,0.7388,455,1986
91,2022-02-28,0.4715,880,1841
92,2022-01-18,0.5852,206,1207
93,2022-02-20,0.5694,853,1604
94,2022-01-30,0.0509,8,420
95,2022-01-08,0.6304,730,1768
96,2022-01-06,0.9795,868,2030
97,2022-03-08,0.7371,610,2994
98,2022-03-17,0.5543,297,151
99,2022-01-15,0.4875,497,2102
100,2022-01-28,0.591,626,2779
101,2022-03-09,0.9051,888,1998
102,2022-03-06,0.2319,62,2163
103,2022-03-22,0.019,590,1293
104,2022-03-15,0.5533,274,2655
105,2022-01-24,0.4171,484,478
106,2022-01-05,0.4948,961,2646
107,2022-02-12,0.3468,714,1786
108,2022-02-06,0.0208,294,2974
109,2022-03-11,0.1922,352,1794
110,2022-01-10,0.2321,224,2407
111,2022-01-29,0.9091,347,2466
112,2022-01-26,0.8535,732,2690
113,2022-02-23,0.4685,904,1201
114,2022-01-09,0.723,399,1707
115,2022-03-26,0.8331,689,2672
116,2022-03-05,0.7346,815,1934
117,2022-03-07,0.7998,864,663
118,2022-01-19,0.6218,289,2829
119,2022-01-22,0.7493,683,1977
120,2022-01-21,0.1291,204,640
121,2022-03-14,0.6057,103,1703
122,2022-01-11,0.9431,505,1243
123,2022-01-26,0.2347,570,192
124,2022-03-17,0.9993,367,1068
125,2022-01-07,0.357,162,715
126,2022-01-21,0.8279,915,2062
127,2022-01-07,0.032,65,1383
128,2022-02-07,0.4306,632,928
129,2022-02-04,0.1207,229,1992
130,2022-01-06,0.2578,348,1455
131,2022-03-15,0.7694,788,2281
132,2022-01-04,0.2675,154,2826
133,2022-02-18,0.8737,618,2742
134,2022-02-09,0.1041,51,1793
135,2022-01-27,0.799,985,3095
136,2022-01-21,0.1109,108,2500
137,2022-02-12,0.6097,878,417
138,2022-02-18,0.8236,42,2077
139,2022-01-25,0.1054,645,483
140,2022-03-02,0.8709,932,1481
141,2022-01-05,0.157,299,2900
142,2022-01-15,0.4415,518,2041
143,2022-02-20,0.7326,101,631
144,2022-01-12,0.6471,342,564
145,2022-01-31,0.123,206,1798
146,2022-02-20,0.9696,787,3149
147,2022-03-16,0.0066,854,1940
148,2022-01-04,0.3413,517,701
149,2022-02-11,0.0852,381,2929
150,2022-01-05,0.7548,369,2578
151,2022-03-04,0.665,155,3085
152,2022-02-08,0.7535,431,934
153,2022-01-07,0.138,439,1693
154,2022-03-14,0.918,919,1879
155,2022-02-18,0.9518,528,2794
156,2022-03-14,0.3618,30,1812
157,2022-02-13,0.1456,10,2939
158,2022-01-11,0.8062,966,285
159,2022-01-07,0.0848,322,1645
160,2022-03-06,0.9819,168,1777
161,2022-03-12,0.0615,777,151
162,2022-01-10,0.6602,656,618
163,2022-01-09,0.9025,59,2587
164,2022-02-11,0.98,818,2704
165,2022-01-11,0.8758,996,1211
166,2022-02-24,0.4193,907,2788
167,2022-03-08,0.7008,894,1246
168,2022-03-13,0.7216,321,1409
169,2022-03-20,0.0079,286,2161
170,2022-03-13,0.6104,150,2868
171,2022-01-08,0.4039,659,840
172,2022-01-18,0.8876,639,2532
173,2022-01-19,0.652,714,1414
174,2022-02-15,0.8877,800,2657
175,2022-02-28,0.4045,202,1235
176,2022-01-03,0.0843,550,1370
177,2022-01-27,0.39,736,3031
178,2022-01-01,0.8799,532,2215
